weight,word,color,url
169,kazakhstan,#7d3c98,
137,wa,#f4d03f,
125,kazakh,#7d3c98,
109,prison,#f4d03f,
98,country,#7d3c98,
90,also,#f4d03f,
88,people,#7d3c98,
86,said,#f4d03f,
79,year,#7d3c98,
77,law,#f4d03f,
74,right,#7d3c98,
74,state,#f4d03f,
73,ha,#7d3c98,
64,criminal,#f4d03f,
62,international,#7d3c98,
57,system,#f4d03f,
54,first,#7d3c98,
53,government,#f4d03f,
51,human,#7d3c98,
49,national,#f4d03f,
49,political,#7d3c98,
48,one,#f4d03f,
46,prosecutor,#7d3c98,
43,new,#f4d03f,
42,prisoner,#7d3c98,
